Ensembl_ID,protein_name,gene_name
ENSP00000321927,Dynein regulatory complex subunit 6 (F-box and leucine-rich repeat protein 13) (F-box/LRR-repeat protein 13),FBXL13 DRC6 FBL13
ENSP00000321951,Protein lifeguard 2 (Fas apoptotic inhibitory molecule 2) (Neural membrane protein 35) (Transmembrane BAX inhibitor motif-containing protein 2),FAIM2 KIAA0950 LFG LFG2 NMP35 TMBIM2
ENSP00000321963,Zinc finger and SCAN domain-containing protein 4 (Zinc finger protein 494),ZSCAN4 ZNF494
ENSP00000321971,Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2),RHOT2 ARHT2 C16orf39
ENSP00000321976,NTPase KAP family P-loop domain-containing protein 1,NKPD1
ENSP00000321987,Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR),TSPEAR C21orf29
ENSP00000321997,La-related protein 1B (La ribonucleoprotein domain family member 1B) (La ribonucleoprotein domain family member 2) (La-related protein 2),LARP1B LARP2
ENSP00000321999,Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor),PTH1R PTHR PTHR1
ENSP00000322020,Mitochondrial glutamate carrier 1 (GC-1) (Glutamate/H(+) symporter 1) (Solute carrier family 25 member 22),SLC25A22 GC1
ENSP00000322061,Complement component C7,C7
ENSP00000322088,Olfactory receptor 52E2,OR52E2
ENSP00000322142,Inhibitor of growth protein 5 (p28ING5),ING5
ENSP00000322156,Olfactory receptor 51L1 (Olfactory receptor OR11-31),OR51L1
ENSP00000322159,Cysteine protease ATG4C (EC 3.4.22.-) (AUT-like 3 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 3) (Autophagin-3) (Autophagy-related protein 4 homolog C) (HsAPG4C),ATG4C APG4C AUTL1 AUTL3
ENSP00000322170,Profilin-4 (Profilin IV),PFN4
ENSP00000322180,Sister chromatid cohesion protein DCC1 (Defective in sister chromatid cohesion protein 1 homolog),DSCC1 DCC1 UNQ9337/PRO34008
ENSP00000322181,Dolichol phosphate-mannose biosynthesis regulatory protein (Dolichol-phosphate mannose synthase subunit 2) (DPM synthase subunit 2),DPM2 My026
ENSP00000322192,Pepsin A-3 (EC 3.4.23.1) (Pepsinogen-3),PGA3
ENSP00000322218,"Membrane-associated phosphatidylinositol transfer protein 2 (Phosphatidylinositol transfer protein, membrane-associated 2) (PITPnm 2) (Pyk2 N-terminal domain-interacting receptor 3) (NIR-3)",PITPNM2 KIAA1457 NIR3
ENSP00000322229,Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1),FADS1 FADSD5
ENSP00000322242,RING finger protein 10,RNF10 KIAA0262 RIE2
ENSP00000322249,Protein orai-3 (Transmembrane protein 142C),ORAI3 TMEM142C
ENSP00000322265,Zinc finger protein 620,ZNF620
ENSP00000322270,Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1),ADGRL2 KIAA0786 LEC1 LPHH1 LPHN2
ENSP00000322273,Olfactomedin-like protein 3 (HNOEL-iso) (hOLF44),OLFML3 PSEC0035 PSEC0173 PSEC0244 UNQ663/PRO1294
ENSP00000322276,Pantetheine hydrolase VNN2 (EC 3.5.1.92) (Glycosylphosphatidyl inositol-anchored protein GPI-80) (Protein FOAP-4) (Vascular non-inflammatory molecule 2) (Vanin-2),VNN2
ENSP00000322300,Protein O-mannosyl-transferase TMTC2 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 2),TMTC2
ENSP00000322304,Protein-serine O-palmitoleoyltransferase porcupine (EC 2.3.1.250) (Protein MG61),PORCN MG61 PORC PPN
ENSP00000322316,"5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Timing protein clk-1 homolog) (Ubiquinone biosynthesis monooxygenase COQ7)",COQ7
ENSP00000322323,Extracellular serine/threonine protein kinase FAM20C (EC 2.7.11.1) (Dentin matrix protein 4) (DMP-4) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK),FAM20C DMP4
ENSP00000322339,Vomeronasal type-1 receptor 1 (G-protein coupled receptor GPCR24) (hGPCR24) (V1r-like receptor 1) (V3r-related gene protein) (Vomeronasal olfactory receptor chromosome 19 subtype I member 1),VN1R1 V1RL1 VNR19I1
ENSP00000322343,Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42),CDK20 CCRK CDCH
ENSP00000322373,Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2) (Endoplasmic reticulum-associated apoptosis-involved protein containing PH and FYVE domains) (EAPF) (PH and FYVE domain-containing protein 2) (Phafin-2) (Phafin2) (Zinc finger FYVE domain-containing protein 18),PLEKHF2 ZFYVE18
ENSP00000322396,Ribosome biogenesis regulatory protein homolog,RRS1 KIAA0112 RRR
ENSP00000322419,60S acidic ribosomal protein P2 (Large ribosomal subunit protein P2) (Renal carcinoma antigen NY-REN-44),RPLP2 D11S2243E RPP2
ENSP00000322439,"Elongation factor Tu, mitochondrial (EF-Tu) (P43)",TUFM
ENSP00000322450,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH dehydrogenase flavoprotein 1) (NADH-ubiquinone oxidoreductase 51 kDa subunit)",NDUFV1 UQOR1
ENSP00000322457,E3 ubiquitin-protein ligase SIAH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2) (Siah-2) (hSiah2),SIAH2
ENSP00000322460,Sodium channel subunit beta-4,SCN4B
ENSP00000322469,Uncharacterized protein C3orf38,C3orf38
ENSP00000322524,dCTP pyrophosphatase 1 (EC 3.6.1.12) (Deoxycytidine-triphosphatase 1) (dCTPase 1) (RS21C6) (XTP3-transactivated gene A protein),DCTPP1 XTP3TPA CDA03
ENSP00000322532,E3 ubiquitin-protein ligase pellino homolog 3 (Pellino-3) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 3),PELI3
ENSP00000322545,Zinc finger protein 543,ZNF543
ENSP00000322546,Olfactory receptor 51G1 (Olfactory receptor 51G3) (Olfactory receptor OR11-29),OR51G1 OR51G3P
ENSP00000322568,Transcription factor SOX-11,SOX11
ENSP00000322570,DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A),POLE POLE1
ENSP00000322579,PHD finger protein 23 (PDH-containing protein JUNE-1),PHF23
ENSP00000322594,Ras-related protein Rab-39A (Rab-39),RAB39A RAB39
ENSP00000322617,5-hydroxytryptamine receptor 3C (5-HT3-C) (5-HT3C) (Serotonin receptor 3C),HTR3C
ENSP00000322628,ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L),ARL4D ARF4L
ENSP00000322640,Spermatogenesis-associated protein 31E1 (Protein FAM75E1),SPATA31E1 C9orf79 FAM75E1
ENSP00000322649,Mitochondrial carrier protein SCaMC-3L (Mitochondrial ATP-Mg/Pi carrier protein SLC25A41) (Small calcium-binding mitochondrial carrier protein 3-like) (SCaMC-3-like) (SCaMC-3L) (Solute carrier family 25 member 41),SLC25A41
ENSP00000322706,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",HMGCS1 HMGCS
ENSP00000322716,Cytokine-like nuclear factor N-PAC (NPAC) (3-hydroxyisobutyrate dehydrogenase-like protein) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60) (Nuclear protein of 60 kDa) (Nucleosome-destabilizing factor) (hNDF) (Putative oxidoreductase GLYR1),GLYR1 HIBDL NDF NP60 NPAC
ENSP00000322730,Integral membrane protein 2C (Cerebral protein 14) (Transmembrane protein BRI3) [Cleaved into: CT-BRI3],ITM2C BRI3 hucep-14 NPD018 PSEC0047
ENSP00000322775,Inactive rhomboid protein 2 (iRhom2) (Rhomboid 5 homolog 2) (Rhomboid family member 2) (Rhomboid veinlet-like protein 5) (Rhomboid veinlet-like protein 6),RHBDF2 IRHOM2 RHBDL5 RHBDL6
ENSP00000322788,Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase],MMP1 CLG
ENSP00000322801,Olfactory receptor 52N2 (Olfactory receptor OR11-57),OR52N2
ENSP00000322802,Testis-specific Y-encoded-like protein 5 (TSPY-like protein 5),TSPYL5 KIAA1750
ENSP00000322832,Protein rogdi homolog,ROGDI
ENSP00000322845,Zinc finger MYM-type protein 3 (Zinc finger protein 261),ZMYM3 DXS6673E KIAA0385 ZNF261
ENSP00000322866,Olfactory receptor 52N5 (Olfactory receptor OR11-62),OR52N5
ENSP00000322885,Probable E3 ubiquitin-protein ligase DTX2 (EC 2.3.2.27) (Protein deltex-2) (Deltex2) (hDTX2) (RING finger protein 58) (RING-type E3 ubiquitin transferase DTX2),DTX2 KIAA1528 RNF58
ENSP00000322898,Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor),EBF1 COE1 EBF
ENSP00000322915,Zinc finger MYM-type protein 4 (Zinc finger protein 262),ZMYM4 KIAA0425 ZNF262
ENSP00000322924,5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (Serotonin receptor 1F),HTR1F HTR1EL
ENSP00000322956,Microfibril-associated glycoprotein 3,MFAP3
ENSP00000322991,"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)",BCAT2 BCATM BCT2 ECA40
ENSP00000323036,Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39],ACP3 ACPP
ENSP00000323046,Exosome complex component RRP40 (Exosome component 3) (Ribosomal RNA-processing protein 40) (p10),EXOSC3 RRP40 CGI-102
ENSP00000323047,Mitochondrial ribosome-associated GTPase 1 (GTP-binding protein 7) (Mitochondrial GTPase 1),MTG1 GTPBP7
ENSP00000323065,"Growth arrest and DNA damage-inducible proteins-interacting protein 1 (39S ribosomal protein L59, mitochondrial) (MRP-L59) (CKII beta-associating protein) (CR6-interacting factor 1) (CRIF1) (Mitochondrial large ribosomal subunit protein mL64) (Papillomavirus L2-interacting nuclear protein 1) (PLINP) (PLINP-1) (p53-responsive gene 6 protein)",GADD45GIP1 MRPL59 PLINP1 PRG6
ENSP00000323068,Transmembrane protein 168,TMEM168
ENSP00000323071,Peroxisomal succinyl-coenzyme A thioesterase (EC 3.1.2.3) (Acyl-coenzyme A thioesterase 4) (Acyl-CoA thioesterase 4) (EC 3.1.2.2) (PTE-2b) (Peroxisomal acyl coenzyme A thioester hydrolase Ib) (Peroxisomal long-chain acyl-CoA thioesterase Ib) (PTE-Ib),ACOT4 PTE2B PTEIB
ENSP00000323074,Retinoic acid-induced protein 1,RAI1 KIAA1820
ENSP00000323076,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,NDUFAF3 C3orf60
ENSP00000323099,ATR-interacting protein (ATM and Rad3-related-interacting protein),ATRIP AGS1
ENSP00000323148,Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18),ZKSCAN1 KOX18 ZNF139 ZNF36
ENSP00000323155,"DAN domain family member 5 (Cerberus-like protein 2) (Cerl-2) (Cysteine knot superfamily 1, BMP antagonist 3) (Gremlin-3)",DAND5 CER2 CKTSF1B3 GREM3 SP1
ENSP00000323183,Zinc finger and BTB domain-containing protein 2,ZBTB2 KIAA1483 ZNF437
ENSP00000323184,MYCBP-associated protein (AMAM-1) (AMY-1-binding protein 1) (AMAP-1),MYCBPAP AMAP1
ENSP00000323191,Sarcoma antigen 1 (Cancer/testis antigen 14) (CT14),SAGE1 SAGE
ENSP00000323224,Olfactory receptor 52N4 (Olfactory receptor OR11-64),OR52N4
ENSP00000323246,Transcription factor E2F7 (E2F-7),E2F7
ENSP00000323264,MARVEL domain-containing protein 2 (Tricellulin),MARVELD2 TRIC
ENSP00000323275,Dynein axonemal assembly factor 4 (Dyslexia susceptibility 1 candidate gene 1 protein),DNAAF4 DYX1C1 EKN1
ENSP00000323280,T-cell differentiation antigen CD6 (T12) (TP120) (CD antigen CD6) [Cleaved into: Soluble CD6],CD6
ENSP00000323288,Pseudouridylate synthase RPUSD2 (EC 5.4.99.-) (RNA pseudouridylate synthase domain-containing protein 2),RPUSD2 C15orf19
ENSP00000323300,Sperm-associated antigen 5 (Astrin) (Deepest) (Mitotic spindle-associated protein p126) (MAP126),SPAG5
ENSP00000323302,POC1 centriolar protein homolog B (Pix1) (Proteome of centriole protein 1B) (WD repeat-containing protein 51B),POC1B WDR51B
ENSP00000323304,Leucine-rich single-pass membrane protein 1,LSMEM1 C7orf53
ENSP00000323313,Protein disulfide-isomerase A5 (EC 5.3.4.1) (Protein disulfide isomerase-related protein),PDIA5 PDIR
ENSP00000323328,Sialic acid-binding Ig-like lectin 7 (Siglec-7) (Adhesion inhibitory receptor molecule 1) (AIRM-1) (CDw328) (D-siglec) (QA79 membrane protein) (p75) (CD antigen CD328),SIGLEC7 AIRM1
ENSP00000323348,E3 ubiquitin-protein ligase CBLL2 (EC 2.3.2.27) (Cbl proto-oncogene-like protein 2) (RING-type E3 ubiquitin transferase ZNF645) (Zinc finger protein 645) (c-Cbl-like protein 2),CBLL2 ZNF645
ENSP00000323421,Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8),SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1
ENSP00000323424,Interferon-stimulated 20 kDa exonuclease-like 2 (EC 3.1.-.-),ISG20L2 HSD-38 HSD38
ENSP00000323435,Sorting nexin-22,SNX22
ENSP00000323455,Tetra-peptide repeat homeobox protein 1,TPRX1
ENSP00000323511,Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)],PNKP
ENSP00000323516,Urotensin-2 receptor (UR-2-R) (G-protein coupled receptor 14) (Urotensin II receptor) (UR-II-R),UTS2R GPR14
ENSP00000323527,Muskelin,MKLN1
ENSP00000323549,Inactive sodium-dependent neutral amino acid transporter B(0)AT3 (Sodium- and chloride-dependent transporter XTRP2) (Solute carrier family 6 member 18) (System B(0) neutral amino acid transporter AT3),SLC6A18 B0AT3 XTRP2
ENSP00000323555,Olfactory receptor 8K3 (Olfactory receptor OR11-181),OR8K3
ENSP00000323568,"Solute carrier family 2, facilitated glucose transporter member 2 (Glucose transporter type 2, liver) (GLUT-2)",SLC2A2 GLUT2
ENSP00000323580,Intraflagellar transport protein 88 homolog (Recessive polycystic kidney disease protein Tg737 homolog) (Tetratricopeptide repeat protein 10) (TPR repeat protein 10),IFT88 TG737 TTC10
ENSP00000323584,Teashirt homolog 1 (Antigen NY-CO-33) (Serologically defined colon cancer antigen 33),TSHZ1 SDCCAG33 TSH1
ENSP00000323587,Intelectin-1 (ITLN-1) (Endothelial lectin HL-1) (Galactofuranose-binding lectin) (Intestinal lactoferrin receptor) (Omentin),ITLN1 INTL ITLN LFR UNQ640/PRO1270
ENSP00000323588,Transcription factor SOX-2,SOX2
ENSP00000323606,Olfactory receptor 6C2 (HSA3),OR6C2
ENSP00000323612,Olfactory receptor 5T1 (Olfactory receptor OR11-179),OR5T1 OR5T1P
ENSP00000323635,Protein FAM210A,FAM210A C18orf19
ENSP00000323645,Tetratricopeptide repeat protein 39C (TPR repeat protein 39C),TTC39C C18orf17
ENSP00000323663,Protein DBF4 homolog B (Activator of S phase kinase-like protein 1) (ASK-like protein 1) (Chiffon homolog B) (Dbf4-related factor 1),DBF4B ASKL1 DRF1
ENSP00000323670,Zinc finger and BTB domain-containing protein 7A (Factor binding IST protein 1) (FBI-1) (Factor that binds to inducer of short transcripts protein 1) (HIV-1 1st-binding protein 1) (Leukemia/lymphoma-related factor) (POZ and Krueppel erythroid myeloid ontogenic factor) (POK erythroid myeloid ontogenic factor) (Pokemon) (Pokemon 1) (TTF-I-interacting peptide 21) (TIP21) (Zinc finger protein 857A),ZBTB7A FBI1 LRF ZBTB7 ZNF857A
ENSP00000323678,Prostaglandin reductase 3 (PRG-3) (EC 1.3.1.48) (Zinc-binding alcohol dehydrogenase domain-containing protein 2),PTGR3 ZADH2
ENSP00000323687,(E3-independent) E2 ubiquitin-conjugating enzyme (EC 2.3.2.24) (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O),UBE2O KIAA1734
ENSP00000323688,Olfactory receptor 5T2 (Olfactory receptor OR11-177),OR5T2
ENSP00000323696,Cartilage-associated protein,CRTAP CASP
ENSP00000323714,Eukaryotic translation initiation factor 4E type 1B,EIF4E1B
ENSP00000323720,Mediator of RNA polymerase II transcription subunit 14 (Activator-recruited cofactor 150 kDa component) (ARC150) (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (RGR1 homolog) (hRGR1) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170) (Transcriptional coactivator CRSP150) (Vitamin D3 receptor-interacting protein complex 150 kDa component) (DRIP150),MED14 ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170
ENSP00000323740,Mitochondrial uncoupling protein 3 (UCP 3) (Solute carrier family 25 member 9),UCP3 SLC25A9
ENSP00000323805,Paralemmin-2,PALM2
ENSP00000323811,2-hydroxyacyl-CoA lyase 1 (EC 4.1.2.63) (2-hydroxyphytanoyl-CoA lyase) (2-HPCL) (Phytanoyl-CoA 2-hydroxylase 2),HACL1 HPCL HPCL2 PHYH2 HSPC279
ENSP00000323816,Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77),AHRR BHLHE77 KIAA1234
ENSP00000323847,ADP-ribosylation factor-like protein 14 (ADP-ribosylation factor 7),ARL14 ARF7
ENSP00000323853,Olfactory receptor 8K5 (Olfactory receptor OR11-174),OR8K5
ENSP00000323856,Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1),PLEC PLEC1
ENSP00000323858,ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54),DDX54
ENSP00000323867,5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg),PRKAG1
ENSP00000323872,P2Y purinoceptor 11 (P2Y11),P2RY11
ENSP00000323879,E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (Protein Ells2) (RING finger protein 202) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2),ZNRF2 RNF202
ENSP00000323880,Forkhead box protein J1 (Forkhead-related protein FKHL13) (Hepatocyte nuclear factor 3 forkhead homolog 4) (HFH-4),FOXJ1 FKHL13 HFH4
ENSP00000323889,E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147),TRIM25 EFP RNF147 ZNF147
ENSP00000323895,Putative olfactory receptor 10D3 (HTPCRX09) (Olfactory receptor OR11-293),OR10D3 OR10D3P
ENSP00000323901,Frizzled-2 (Fz-2) (hFz2) (FzE2),FZD2
ENSP00000323913,Tripartite motif-containing protein 55 (Muscle-specific RING finger protein 2) (MuRF-2) (MuRF2) (RING finger protein 29),TRIM55 MURF2 RNF29
ENSP00000323926,Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8),TRPM8 LTRPC6 TRPP8
ENSP00000323927,Plexin domain-containing protein 1 (Tumor endothelial marker 3) (Tumor endothelial marker 7),PLXDC1 TEM3 TEM7
ENSP00000323928,Olfactory receptor 8H3 (Olfactory receptor OR11-172),OR8H3
ENSP00000323929,Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5),A2M CPAMD5 FWP007
ENSP00000323945,Zinc finger protein 771 (Mesenchymal stem cell protein DSC43),ZNF771
ENSP00000323967,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57) (BAF57),SMARCE1 BAF57
ENSP00000324020,Kinesin-like protein KIF15 (Kinesin-like protein 2) (hKLP2) (Kinesin-like protein 7) (Serologically defined breast cancer antigen NY-BR-62),KIF15 KLP2 KNSL7
ENSP00000324064,"Zinc finger protein 354C (Kidney, ischemia, and developmentally-regulated protein 3) (hKID3)",ZNF354C KID3
ENSP00000324105,Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase) (MSE) (Skeletal muscle enolase),ENO3
ENSP00000324122,U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31),PRPF31 PRP31
ENSP00000324124,"DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RNA polymerase II 7.6 kDa subunit) (RPB7.6) (RPB10 homolog)",POLR2L
ENSP00000324127,PH and SEC7 domain-containing protein 3 (Epididymis tissue protein Li 20mP) (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 D) (Exchange factor for ARF6 D) (Hepatocellular carcinoma-associated antigen 67) (Pleckstrin homology and SEC7 domain-containing protein 3),PSD3 EFA6D EFA6R HCA67 KIAA0942
ENSP00000324173,Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),HSPA5 GRP78
ENSP00000324175,MEF2-activating motif and SAP domain-containing transcriptional regulator (MEF2-activating SAP transcriptional regulatory protein),MAMSTR MASTR
ENSP00000324191,Potassium channel regulatory protein (Potassium channel regulator) (Protein CLLD4),KCNRG CLLD4
ENSP00000324196,Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (CDK5-binding protein) (Lemur tyrosine kinase 1) (p35-binding protein) (p35BP),AATK AATYK KIAA0641 LMR1 LMTK1
ENSP00000324203,Telomerase Cajal body protein 1 (WD repeat-containing protein 79) (WD40 repeat-containing protein antisense to TP53 gene) (WRAP53beta),WRAP53 TCAB1 WDR79
ENSP00000324205,Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1),CHMP4A C14orf123 SHAX2 CDA04 HSPC134
ENSP00000324248,Proenkephalin-A [Cleaved into: Synenkephalin; Met-enkephalin (Opioid growth factor) (OGF); PENK(114-133); PENK(143-183); Met-enkephalin-Arg-Gly-Leu; Leu-enkephalin; PENK(237-258); Met-enkephalin-Arg-Phe],PENK
ENSP00000324251,Olfactory receptor 10K2 (Olfactory receptor OR1-4),OR10K2
ENSP00000324270,Oxytocin receptor (OT-R),OXTR
ENSP00000324277,Apolipoprotein L domain-containing protein 1 (Vascular early response gene protein),APOLD1 VERGE
ENSP00000324287,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)",ACAP2 CENTB2 KIAA0041
ENSP00000324292,Fas-binding factor 1 (FBF-1) (Protein albatross),FBF1 ALB KIAA1863
ENSP00000324302,Syntaxin-binding protein 6 (Amisyn),STXBP6 HSPC156
ENSP00000324318,Trafficking protein particle complex subunit 12 (Tetratricopeptide repeat protein 15) (TPR repeat protein 15) (TTC-15) (Trafficking of membranes and mitosis),TRAPPC12 TRAMM TTC15 CGI-87
ENSP00000324323,Dynein light chain Tctex-type protein 2B (Tctex1 domain-containing protein 2),DYNLT2B TCTEX1D2
ENSP00000324343,Beta-ureidopropionase (EC 3.5.1.6) (BUP-1) (Beta-alanine synthase) (N-carbamoyl-beta-alanine amidohydrolase),UPB1 BUP1
ENSP00000324403,PHD finger protein 21B,PHF21B KIAA1661
ENSP00000324404,Trichoplein keratin filament-binding protein (Protein TCHP) (Mitochondrial protein with oncostatic activity) (Mitostatin) (Tumor suppressor protein),TCHP
ENSP00000324419,Synaptotagmin-9 (Synaptotagmin IX) (SytIX),SYT9
ENSP00000324422,Zyxin (Zyxin-2),ZYX
ENSP00000324463,YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113),YLPM1 C14orf170 ZAP3
ENSP00000324464,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),CSNK1D HCKID
ENSP00000324510,BAI1-associated protein 3 (BAP3) (Brain-specific angiogenesis inhibitor I-associated protein 3),BAIAP3 KIAA0734
ENSP00000324527,Unconventional myosin-Id,MYO1D KIAA0727
ENSP00000324532,Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha),LAMA3 LAMNA
ENSP00000324534,Olfactory receptor 14C36 (Olfactory receptor 5BF1) (Olfactory receptor OR1-59),OR14C36 OR5BF1
ENSP00000324557,Olfactory receptor 2M7 (Olfactory receptor OR1-58),OR2M7
ENSP00000324560,Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1),ULK1 KIAA0722
ENSP00000324573,Protein flightless-1 homolog,FLII FLIL
ENSP00000324583,Olfactory receptor 2T12 (Olfactory receptor OR1-57),OR2T12
ENSP00000324605,Zinc finger protein 660,ZNF660
ENSP00000324628,Gamma-soluble NSF attachment protein (SNAP-gamma) (N-ethylmaleimide-sensitive factor attachment protein gamma),NAPG SNAPG
ENSP00000324648,"Cytochrome P450 2B6 (EC 1.14.13.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIB6) (Cytochrome P450 IIB1)",CYP2B6
ENSP00000324651,Transmembrane protein 108 (Retrolinkin),TMEM108 KIAA1690 RTLN UNQ1875/PRO4318
